Comment,Designator,Footprint,LCSC
100n,C3,C_0402_1005Metric,
2.2u,C4,C_0402_1005Metric,
2.2u,C5,C_0402_1005Metric,
2.2u,C6,C_0402_1005Metric,
2.2u,C7,C_0402_1005Metric,
100n,C8,C_0402_1005Metric,
2.2u,C9,C_0402_1005Metric,
2.2u,C10,C_0402_1005Metric,
100n,C12,C_0402_1005Metric,
100n,C16,C_0402_1005Metric,
100n,C19,C_0402_1005Metric,
100n,C20,C_0402_1005Metric,
10uf,C24,C_0603_1608Metric,
100n,C26,C_0402_1005Metric,
GREEN,D1,LED_0402_1005Metric,
RED,D2,LED_0402_1005Metric,
1N5819,D3,D_SOD-323,
MountingHole_Pad,H1,MountingHole_2.0mm_Pad_Via,
MountingHole_Pad,H2,MountingHole_2.0mm_Pad_Via,
MountingHole_Pad,H3,MountingHole_2.0mm_Pad_Via,
SWD,J2,PinHeader_1x04_P1.00mm_Vertical,
MOTOR,J3,PinHeader_1x04_P2.00mm_Vertical,
22uH,L1,L_Taiyo-Yuden_MD-3030,
1k,R2,R_0402_1005Metric,
10k,R3,R_0402_1005Metric,
10k,R4,R_0402_1005Metric,
0Ω,R5,R_0402_1005Metric,
1k,R7,R_0402_1005Metric,
1k,R9,R_0402_1005Metric,
0.1Ω,R10,R_0805_2012Metric,
0.1Ω,R11,R_0805_2012Metric,
200k,R12,R_0402_1005Metric,
33k,R13,R_0402_1005Metric,
100k,R14,R_0402_1005Metric,
10k,R15,R_0402_1005Metric,
120R,R18,R_0402_1005Metric,
4.7k,R19,R_0402_1005Metric,
GD32F150G8U6TR,U2,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,
TB67H450FNG,U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,
TB67H450FNG,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,
TX4137,U5,SOT-23-6,
MountingHole_Pad,H4,MountingHole_2.0mm_Pad_Via,
1k,R16,R_0402_1005Metric,
3.3k,R17,R_0402_1005Metric,
1k,R1,R_0402_1005Metric,
4.7k,R20,R_0402_1005Metric,
1k,R6,R_0402_1005Metric,
CON,J1,PinHeader_1x04_P2.00mm_Vertical,
1k,R8,R_0402_1005Metric,
100n,C15,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,
2.2u,C27,C_0402_1005Metric,
NTC 10k,NTC1,R_0402_1005Metric,
10uf,C23,C_0603_1608Metric,
"22uF, 25V",C13,C_1206_3216Metric,
"22uF, 25V",C14,C_1206_3216Metric,
"22uF, 25V",C17,C_1206_3216Metric,
"22uF, 25V",C18,C_1206_3216Metric,
"22uF, 25V",C21,C_1206_3216Metric,
"22uF, 25V",C22,C_1206_3216Metric,
MT6816,U1,SOP-8_3.76x4.96mm_P1.27mm,
SP3485EP,U6,SOIC-8_3.9x4.9mm_P1.27mm,
100n,C28,C_0402_1005Metric,
